Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
654.073307,1.17627e-011,1.17627e-011
654.080903,2.06153e-012,2.06153e-012
654.088498,1.84657e-011,1.84657e-011
654.096094,9.91295e-012,9.91295e-012
654.103689,6.6848e-013,6.6848e-013
654.111285,8.18476e-013,8.18476e-013
654.11888,9.16006e-013,9.16006e-013
654.126476,5.17803e-012,5.17803e-012
654.134071,1.96435e-011,1.96435e-011
654.141667,2.85213e-011,2.85213e-011
654.149262,2.12655e-011,2.12655e-011
654.156858,1.90862e-011,1.90862e-011
654.164453,1.6068e-011,1.6068e-011
654.172049,1.07688e-011,1.07688e-011
654.179644,2.56252e-011,2.56252e-011
654.18724,1.93148e-011,1.93148e-011
654.194835,7.70341e-012,7.70341e-012
654.202431,3.7992e-011,3.7992e-011
654.210026,2.85988e-011,2.85988e-011
654.217622,5.7125e-011,5.7125e-011
654.225217,7.65892e-011,7.65892e-011
654.232813,5.65434e-011,5.65434e-011
654.240408,2.50402e-011,2.50402e-011
654.248004,3.1834e-011,3.1834e-011
654.255599,2.87224e-011,2.87224e-011
654.263194,2.16696e-011,2.16696e-011
654.27079,2.98085e-011,2.98085e-011
654.278385,3.40256e-011,3.40256e-011
654.285981,6.71138e-011,6.71138e-011
654.293576,5.66973e-011,5.66973e-011
654.301172,1.85843e-011,1.85843e-011
654.308767,2.26164e-011,2.26164e-011
654.316363,3.36087e-011,3.36087e-011
654.323958,2.00524e-011,2.00524e-011
654.331554,2.59199e-011,2.59199e-011
654.339149,5.10276e-011,5.10276e-011
654.346745,3.83393e-011,3.83393e-011
654.35434,7.89233e-012,7.89233e-012
654.361936,1.93873e-012,1.93873e-012
654.369531,7.2492e-012,7.2492e-012
654.377127,1.55351e-011,1.55351e-011
654.384722,3.63408e-013,3.63408e-013
654.392318,3.11282e-011,3.11282e-011
654.399913,1.53189e-011,1.53189e-011
654.407509,2.14314e-011,2.14314e-011
654.415104,1.20808e-011,1.20808e-011
654.4227,1.09355e-011,1.09355e-011
654.430295,2.16942e-011,2.16942e-011
654.437891,2.36294e-011,2.36294e-011
654.445486,2.54053e-011,2.54053e-011
654.453082,6.09617e-011,6.09617e-011
654.460677,7.07638e-011,7.07638e-011
654.468273,5.46113e-011,5.46113e-011
654.475868,3.08106e-011,3.08106e-011
654.483464,1.30627e-011,1.30627e-011
654.491059,2.26616e-012,2.26616e-012
654.498655,1.16754e-012,1.16754e-012
654.50625,5.73419e-012,5.73419e-012
654.513846,1.07798e-011,1.07798e-011
654.521441,7.60705e-012,7.60705e-012
654.529036,1.31376e-012,1.31376e-012
654.536632,1.98149e-012,1.98149e-012
654.544227,1.93838e-012,1.93838e-012
654.551823,2.61062e-012,2.61062e-012
654.559418,1.24651e-011,1.24651e-011
654.567014,2.8235e-011,2.8235e-011
654.574609,3.76068e-011,3.76068e-011
654.582205,6.38111e-011,6.38111e-011
654.5898,1.13463e-010,1.13463e-010
654.597396,3.13511e-011,3.13511e-011
654.604991,1.13421e-011,1.13421e-011
654.612587,3.78678e-012,3.78678e-012
654.620182,1.58689e-011,1.58689e-011
654.627778,3.54334e-011,3.54334e-011
654.635373,3.54334e-011,3.54334e-011
654.642969,2.2165e-011,2.2165e-011
654.650564,1.96307e-011,1.96307e-011
654.65816,1.16703e-012,1.16703e-012
654.665755,1.09089e-012,1.09089e-012
654.673351,7.97489e-013,7.97489e-013
654.680946,5.08945e-013,5.08945e-013
654.688542,1.02925e-011,1.02925e-011
654.696137,1.1408e-011,1.1408e-011
654.703733,8.69331e-012,8.69331e-012
654.711328,8.2972e-012,8.2972e-012
654.718924,1.55523e-011,1.55523e-011
654.726519,3.69186e-011,3.69186e-011
654.734115,5.05717e-011,5.05717e-011
654.74171,3.1186e-011,3.1186e-011
654.749306,3.23245e-011,3.23245e-011
654.756901,3.23113e-011,3.23113e-011
654.764497,9.27982e-012,9.27982e-012
654.772092,1.01351e-012,1.01351e-012
654.779688,2.44114e-012,2.44114e-012
654.787283,5.51269e-012,5.51269e-012
654.794878,3.53923e-011,3.53923e-011
654.802474,1.54706e-011,1.54706e-011
654.810069,8.20966e-011,8.20966e-011
654.817665,3.75947e-011,3.75947e-011
654.82526,1.83042e-011,1.83042e-011
654.832856,1.45359e-011,1.45359e-011
654.840451,3.12692e-011,3.12692e-011
654.848047,1.74262e-011,1.74262e-011
654.855642,1.00768e-011,1.00768e-011
654.863238,1.41679e-011,1.41679e-011
654.870833,2.2133e-011,2.2133e-011
654.878429,2.87303e-011,2.87303e-011
654.886024,9.49947e-012,9.49947e-012
654.89362,5.32461e-012,5.32461e-012
654.901215,2.388e-011,2.388e-011
654.908811,2.28745e-011,2.28745e-011
654.916406,5.6472e-012,5.6472e-012
654.924002,3.00983e-012,3.00983e-012
654.931597,2.33469e-011,2.33469e-011
654.939193,2.67525e-011,2.67525e-011
654.946788,2.01414e-011,2.01414e-011
654.954384,6.36685e-012,6.36685e-012
654.961979,1.27576e-012,1.27576e-012
654.969575,8.62977e-012,8.62977e-012
654.97717,6.08544e-012,6.08544e-012
654.984766,1.88334e-011,1.88334e-011
654.992361,8.85967e-012,8.85967e-012
654.999957,2.83232e-011,2.83232e-011
655.007552,4.80141e-012,4.80141e-012
655.015148,1.36791e-011,1.36791e-011
655.022743,1.56531e-012,1.56531e-012
655.030339,5.53008e-012,5.53008e-012
655.037934,1.93275e-011,1.93275e-011
655.04553,3.39926e-011,3.39926e-011
655.053125,1.04575e-011,1.04575e-011
655.06072,1.22776e-011,1.22776e-011
655.068316,2.46254e-011,2.46254e-011
655.075911,2.88008e-011,2.88008e-011
655.083507,4.6451e-011,4.6451e-011
655.091102,3.1501e-011,3.1501e-011
655.098698,3.50621e-012,3.50621e-012
655.106293,4.26643e-012,4.26643e-012
655.113889,3.62802e-012,3.62802e-012
655.121484,1.62657e-011,1.62657e-011
655.12908,6.6016e-011,6.6016e-011
655.136675,1.04802e-010,1.04802e-010
655.144271,5.98801e-011,5.98801e-011
655.151866,1.90853e-011,1.90853e-011
655.159462,1.1544e-012,1.1544e-012
655.167057,3.6207e-012,3.6207e-012
655.174653,5.22654e-012,5.22654e-012
655.182248,8.97874e-012,8.97874e-012
655.189844,1.57047e-011,1.57047e-011
655.197439,4.28249e-011,4.28249e-011
655.205035,1.08116e-011,1.08116e-011
655.21263,2.25455e-011,2.25455e-011
655.220226,3.34037e-011,3.34037e-011
655.227821,7.33229e-012,7.33229e-012
655.235417,8.6847e-012,8.6847e-012
655.243012,7.42199e-012,7.42199e-012
655.250608,2.76658e-011,2.76658e-011
