Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
656.534245,2.5139e-011,2.5139e-011
656.54184,3.36349e-011,3.36349e-011
656.549436,3.00087e-011,3.00087e-011
656.557031,2.25418e-011,2.25418e-011
656.564627,1.27449e-014,1.27449e-014
656.572222,1.91905e-011,1.91905e-011
656.579818,4.24871e-011,4.24871e-011
656.587413,4.14795e-011,4.14795e-011
656.595009,5.12699e-011,5.12699e-011
656.602604,7.56495e-011,7.56495e-011
656.6102,1.3344e-010,1.3344e-010
656.617795,1.41863e-010,1.41863e-010
656.625391,7.62524e-011,7.62524e-011
656.632986,4.00608e-011,4.00608e-011
656.640582,2.28141e-011,2.28141e-011
656.648177,2.50959e-011,2.50959e-011
656.655773,2.67511e-011,2.67511e-011
656.663368,6.46099e-011,6.46099e-011
656.670964,7.02873e-011,7.02873e-011
656.678559,5.26399e-011,5.26399e-011
656.686154,6.4078e-011,6.4078e-011
656.69375,6.51898e-011,6.51898e-011
656.701345,5.21248e-011,5.21248e-011
656.708941,8.39487e-011,8.39487e-011
656.716536,8.30764e-011,8.30764e-011
656.724132,1.07961e-010,1.07961e-010
656.731727,1.35788e-010,1.35788e-010
656.739323,9.5832e-011,9.5832e-011
656.746918,3.31866e-011,3.31866e-011
656.754514,1.93623e-012,1.93623e-012
656.762109,4.88588e-012,4.88588e-012
656.769705,1.00169e-011,1.00169e-011
656.7773,6.73079e-012,6.73079e-012
656.784896,1.70631e-012,1.70631e-012
656.792491,5.1978e-012,5.1978e-012
656.800087,1.35127e-011,1.35127e-011
656.807682,2.27264e-011,2.27264e-011
656.815278,2.56147e-011,2.56147e-011
656.822873,1.56035e-011,1.56035e-011
656.830469,3.64153e-012,3.64153e-012
656.838064,6.25679e-011,6.25679e-011
656.84566,1.0464e-010,1.0464e-010
656.853255,7.45271e-011,7.45271e-011
656.860851,2.59629e-011,2.59629e-011
656.868446,3.79355e-012,3.79355e-012
656.876042,1.067e-012,1.067e-012
656.883637,2.66828e-013,2.66828e-013
656.891233,1.18503e-011,1.18503e-011
656.898828,8.58063e-011,8.58063e-011
656.906424,6.96296e-011,6.96296e-011
656.914019,7.31722e-011,7.31722e-011
656.921615,6.78445e-011,6.78445e-011
