Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1305.80729,1.78523e-012,1.78523e-012
1305.81489,3.3722e-012,3.3722e-012
1305.82248,3.31574e-012,3.31574e-012
1305.83008,4.25563e-012,4.25563e-012
1305.83767,4.26258e-012,4.26258e-012
1305.84527,5.18789e-012,5.18789e-012
1305.85286,4.94592e-012,4.94592e-012
1305.86046,2.70541e-012,2.70541e-012
1305.86806,3.04905e-012,3.04905e-012
1305.87565,3.76194e-012,3.76194e-012
1305.88325,3.77656e-012,3.77656e-012
1305.89084,2.13614e-012,2.13614e-012
1305.89844,4.1239e-012,4.1239e-012
1305.90603,4.849e-012,4.849e-012
1305.91363,3.98877e-012,3.98877e-012
1305.92122,3.24327e-012,3.24327e-012
1305.92882,1.87939e-012,1.87939e-012
1305.93642,1.40802e-012,1.40802e-012
1305.94401,2.43612e-012,2.43612e-012
1305.95161,2.93316e-012,2.93316e-012
1305.9592,3.38226e-012,3.38226e-012
1305.9668,1.70959e-012,1.70959e-012
1305.97439,2.02265e-012,2.02265e-012
1305.98199,1.31363e-012,1.31363e-012
1305.98958,3.3639e-012,3.3639e-012
1305.99718,2.42777e-012,2.42777e-012
1306.00477,4.16956e-012,4.16956e-012
1306.01237,2.14484e-012,2.14484e-012
1306.01997,2.92141e-012,2.92141e-012
1306.02756,1.69891e-012,1.69891e-012
1306.03516,1.84909e-012,1.84909e-012
1306.04275,1.70674e-012,1.70674e-012
1306.05035,2.49118e-012,2.49118e-012
1306.05794,2.86661e-012,2.86661e-012
1306.06554,1.92407e-012,1.92407e-012
1306.07313,2.43014e-012,2.43014e-012
1306.08073,4.69032e-012,4.69032e-012
1306.08832,3.16406e-012,3.16406e-012
1306.09592,2.65319e-012,2.65319e-012
1306.10352,3.69234e-012,3.69234e-012
1306.11111,2.65182e-012,2.65182e-012
1306.11871,2.92066e-012,2.92066e-012
1306.1263,3.34774e-012,3.34774e-012
1306.1339,2.10314e-012,2.10314e-012
1306.14149,1.86357e-012,1.86357e-012
1306.14909,3.02331e-012,3.02331e-012
1306.15668,2.74552e-012,2.74552e-012
1306.16428,3.13182e-012,3.13182e-012
1306.17188,1.96994e-012,1.96994e-012
1306.17947,2.41533e-012,2.41533e-012
1306.18707,1.39544e-012,1.39544e-012
1306.19466,1.96629e-012,1.96629e-012
1306.20226,1.7479e-012,1.7479e-012
1306.20985,1.99776e-012,1.99776e-012
1306.21745,2.61452e-012,2.61452e-012
1306.22504,3.29451e-012,3.29451e-012
