Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1307.29601,1.68706e-012,1.68706e-012
1307.3036,2.27131e-012,2.27131e-012
1307.3112,2.55125e-012,2.55125e-012
1307.31879,1.19212e-012,1.19212e-012
1307.32639,1.1095e-012,1.1095e-012
1307.33398,2.41671e-012,2.41671e-012
1307.34158,2.12146e-012,2.12146e-012
1307.34918,4.09099e-012,4.09099e-012
1307.35677,1.65494e-012,1.65494e-012
1307.36437,2.89293e-012,2.89293e-012
1307.37196,2.11356e-012,2.11356e-012
1307.37956,2.04211e-012,2.04211e-012
1307.38715,1.87695e-012,1.87695e-012
1307.39475,2.23101e-012,2.23101e-012
1307.40234,2.41326e-012,2.41326e-012
1307.40994,2.3e-012,2.3e-012
1307.41753,3.44924e-012,3.44924e-012
1307.42513,2.77284e-012,2.77284e-012
1307.43273,1.92999e-012,1.92999e-012
1307.44032,2.18942e-012,2.18942e-012
1307.44792,3.1178e-012,3.1178e-012
1307.45551,4.07565e-012,4.07565e-012
1307.46311,2.751e-012,2.751e-012
1307.4707,2.22695e-012,2.22695e-012
1307.4783,3.42961e-012,3.42961e-012
1307.48589,2.58664e-012,2.58664e-012
1307.49349,2.15855e-012,2.15855e-012
1307.50109,2.36772e-012,2.36772e-012
1307.50868,1.43504e-012,1.43504e-012
1307.51628,1.38089e-012,1.38089e-012
1307.52387,1.49116e-012,1.49116e-012
1307.53147,2.07873e-012,2.07873e-012
1307.53906,1.25917e-012,1.25917e-012
1307.54666,7.34593e-013,7.34593e-013
1307.55425,5.63177e-013,5.63177e-013
1307.56185,1.05905e-012,1.05905e-012
1307.56944,1.44274e-012,1.44274e-012
1307.57704,1.65147e-012,1.65147e-012
1307.58464,9.83688e-013,9.83688e-013
1307.59223,1.99668e-012,1.99668e-012
1307.59983,2.83198e-012,2.83198e-012
1307.60742,4.07962e-012,4.07962e-012
1307.61502,4.33839e-012,4.33839e-012
1307.62261,7.38552e-013,7.38552e-013
1307.63021,3.06003e-012,3.06003e-012
1307.6378,2.90898e-012,2.90898e-012
1307.6454,3.27837e-012,3.27837e-012
1307.65299,2.54616e-012,2.54616e-012
1307.66059,2.46929e-012,2.46929e-012
1307.66819,2.55743e-012,2.55743e-012
