Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
656.860851,3.98028e-012,3.98028e-012
656.868446,1.19103e-012,1.19103e-012
656.876042,1.8201e-012,1.8201e-012
656.883637,3.34628e-012,3.34628e-012
656.891233,3.53508e-011,3.53508e-011
656.898828,6.92875e-011,6.92875e-011
656.906424,4.6205e-011,4.6205e-011
656.914019,1.16404e-011,1.16404e-011
656.921615,1.56355e-011,1.56355e-011
656.92921,2.94609e-011,2.94609e-011
656.936806,2.19045e-011,2.19045e-011
656.944401,3.15606e-011,3.15606e-011
656.951996,1.00807e-011,1.00807e-011
656.959592,8.37642e-012,8.37642e-012
656.967187,1.36778e-011,1.36778e-011
656.974783,5.73859e-012,5.73859e-012
656.982378,1.77051e-011,1.77051e-011
656.989974,3.61555e-011,3.61555e-011
656.997569,6.93478e-011,6.93478e-011
657.005165,9.65485e-012,9.65485e-012
657.01276,1.17917e-012,1.17917e-012
657.020356,1.46288e-011,1.46288e-011
657.027951,3.76178e-011,3.76178e-011
657.035547,2.89253e-012,2.89253e-012
657.043142,5.23834e-012,5.23834e-012
657.050738,1.49953e-011,1.49953e-011
657.058333,1.55722e-011,1.55722e-011
657.065929,2.65089e-011,2.65089e-011
657.073524,4.05699e-011,4.05699e-011
657.08112,4.53739e-011,4.53739e-011
657.088715,4.62938e-011,4.62938e-011
657.096311,2.70989e-011,2.70989e-011
657.103906,9.70103e-012,9.70103e-012
657.111502,2.16819e-011,2.16819e-011
657.119097,3.03559e-011,3.03559e-011
657.126693,3.47226e-011,3.47226e-011
657.134288,3.14674e-011,3.14674e-011
657.141884,1.17261e-011,1.17261e-011
657.149479,1.8763e-014,1.8763e-014
657.157075,1.77946e-011,1.77946e-011
657.16467,7.99233e-011,7.99233e-011
657.172266,9.27255e-011,9.27255e-011
657.179861,4.93616e-011,4.93616e-011
657.187457,5.7612e-011,5.7612e-011
657.195052,1.01066e-010,1.01066e-010
657.202648,8.13396e-011,8.13396e-011
657.210243,3.38562e-011,3.38562e-011
657.217839,3.10055e-011,3.10055e-011
657.225434,1.06792e-010,1.06792e-010
657.233029,1.77327e-010,1.77327e-010
657.240625,1.46899e-010,1.46899e-010
657.24822,1.35574e-010,1.35574e-010
657.255816,1.05908e-010,1.05908e-010
657.263411,4.26551e-011,4.26551e-011
657.271007,1.4646e-011,1.4646e-011
657.278602,1.40004e-011,1.40004e-011
657.286198,5.45896e-012,5.45896e-012
657.293793,1.89787e-012,1.89787e-012
657.301389,7.65767e-012,7.65767e-012
657.308984,1.2858e-011,1.2858e-011
657.31658,5.65949e-012,5.65949e-012
657.324175,5.00359e-012,5.00359e-012
657.331771,9.20952e-012,9.20952e-012
657.339366,8.36327e-012,8.36327e-012
657.346962,1.07698e-014,1.07698e-014
657.354557,4.8916e-012,4.8916e-012
657.362153,2.94791e-011,2.94791e-011
657.369748,4.02428e-011,4.02428e-011
657.377344,3.20044e-011,3.20044e-011
657.384939,4.50831e-011,4.50831e-011
657.392535,9.91724e-011,9.91724e-011
657.40013,4.97775e-011,4.97775e-011
657.407726,2.11695e-011,2.11695e-011
657.415321,3.03049e-011,3.03049e-011
657.422917,4.98843e-011,4.98843e-011
657.430512,7.85362e-011,7.85362e-011
657.438108,1.18359e-010,1.18359e-010
657.445703,9.26277e-011,9.26277e-011
657.453299,3.06354e-011,3.06354e-011
657.460894,4.26898e-012,4.26898e-012
657.46849,5.14168e-012,5.14168e-012
657.476085,8.47332e-012,8.47332e-012
657.483681,3.33501e-012,3.33501e-012
657.491276,6.39618e-013,6.39618e-013
657.498871,7.24417e-013,7.24417e-013
657.506467,6.96923e-013,6.96923e-013
657.514062,6.75861e-012,6.75861e-012
657.521658,1.56657e-011,1.56657e-011
657.529253,1.46324e-011,1.46324e-011
657.536849,2.32097e-011,2.32097e-011
657.544444,3.44966e-011,3.44966e-011
657.55204,5.71949e-011,5.71949e-011
657.559635,8.28036e-011,8.28036e-011
657.567231,6.85492e-011,6.85492e-011
657.574826,3.62016e-011,3.62016e-011
657.582422,9.58743e-012,9.58743e-012
